player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
100045,John,Paish,L,1940-03-23,GBR,NA,Q13512828
100046,Larry,Nagler,R,1940-07-01,USA,NA,NA
100047,Bob,Carmichael,R,1940-07-04,AUS,183,Q1565064
100048,Earl Butch,Buchholz,R,1940-09-16,USA,188,Q195386
100049,Jim,Mcmanus,L,1940-09-16,USA,175,Q12957721
100050,Martin,Mulligan,R,1940-10-18,AUS,NA,Q1291938
100051,Premjit,Lall,R,1940-10-20,IND,NA,Q1268979
100052,Keishiro,Yanagi,R,1941-02-24,JPN,NA,Q87798987
100053,Colin,Stubs,R,1941-02-27,AUS,NA,NA
100054,Jose Edison,Mandarino,R,1941-03-26,BRA,173,NA
100055,Cliff,Drysdale,R,1941-05-26,RSA,188,Q582003
100056,Harald,Elschenbroich,R,1941-06-19,GER,NA,Q5653740
100057,Pierre,Barthes,R,1941-09-13,FRA,NA,Q1558013
100058,Roger,Taylor,L,1941-10-14,GBR,183,Q1282421
100059,Isao,Watanabe,R,1941-11-23,JPN,NA,Q87795355
100060,Marty,Riessen,R,1941-12-04,USA,185,Q1289530
100061,Tom,Edlefsen,R,1941-12-12,USA,188,Q7815700
100062,Francois,Jauffret,R,1942-02-09,FRA,180,Q1260078
100063,Billy,Higgins,R,1942-04-02,USA,NA,NA
100064,Juan,Gisbert,R,1942-04-05,ESP,NA,Q1290022
100065,Terry,Ryan,R,1942-04-27,RSA,NA,Q23020633
100066,Frank,Froehling,R,1942-05-19,USA,190,Q3082619
100067,Frew,Mcmillan,R,1942-05-20,RSA,183,Q962512
100068,Herb,Fitzgibbon,R,1942-07-14,USA,NA,Q1565884
100069,Dennis,Ralston,R,1942-07-27,USA,188,Q1189457
100070,Jan,Kukal,R,1942-09-13,CZE,NA,Q1258763
100071,Jean Claude,Barclay,R,1942-12-30,FRA,NA,Q1561962
100072,Bailey,Brown,R,1943-06-15,USA,NA,NA
100073,Mark,Cox,L,1943-07-05,GBR,185,Q1565058
100074,Arthur,Ashe,R,1943-07-10,USA,185,Q53325
100075,Owen,Davidson,L,1943-10-04,AUS,185,Q976174
100076,Milan,Holecek,R,1943-10-23,CZE,190,Q1563971
100077,Daniel,Contet,R,1943-11-03,FRA,NA,Q1563980
100078,Clark,Graebner,R,1943-11-04,USA,188,Q1269127
100079,Bill,Bowrey,R,1943-12-25,AUS,NA,Q577531
100080,Szabolcz,Baranyi,R,1944-01-31,HUN,NA,Q13512888
100081,Charlie,Pasarell,R,1944-02-12,USA,185,Q1269243
100082,Roger,Dowdeswell,R,1944-02-16,ZIM,NA,Q7358114
100083,Nicola,Spear,R,1944-02-22,SRB,NA,Q1258505
100084,Tom,Okker,R,1944-02-22,NED,178,Q455411
100085,Hans Joachim,Ploetz,R,1944-02-26,GER,NA,NA
100086,Frantisek,Pala,L,1944-03-28,CZE,NA,Q323289
100087,John,Newcombe,R,1944-05-23,AUS,183,Q312464
100088,Patricio,Cornejo,R,1944-06-06,CHI,180,Q1271345
100089,Patrice,Beust,R,1944-09-03,FRA,170,Q3368873
100090,Dick,Crealy,R,1944-09-18,AUS,191,Q962839
100091,Colin,Dibley,R,1944-09-19,AUS,188,Q390839
100092,Alex,Metreveli,R,1944-11-02,RUS,NA,Q465796
100093,William,Brown,R,1945-01-14,USA,NA,Q13512796
100094,Jim,Osborne,R,1945-02-01,USA,185,Q1562015
100095,Tony,Bardsley,R,1945-02-09,CAN,NA,Q7821830
100096,Peter,Burwash,R,1945-02-10,CAN,175,Q7173087
100097,Nicholas,Kalogeropoulos,R,1945-02-18,GRE,NA,Q3339850
100098,Ove,Bengtson,R,1945-04-05,SWE,196,Q374309
100099,Thomaz,Koch,L,1945-05-11,BRA,NA,Q1281836
100100,Tony,Roche,L,1945-05-17,AUS,178,Q710119
100101,Mike,Belkin,R,1945-06-29,CAN,NA,Q1563966
100102,Joaquin,Loyo Mayo,R,1945-08-16,MEX,NA,Q1565143
100103,Peter,Curtis,R,1945-08-29,GBR,NA,Q3376525
100104,Richard,Russell,R,1945-09-08,JAM,NA,NA
100105,Allan,Stone,R,1945-10-14,AUS,NA,Q1260060
100106,Graham,Stilwell,R,1945-11-15,GBR,173,Q5593283
100107,Robert,Rheinberger,R,1945-11-18,AUS,NA,NA
100108,Chris,Bovett,R,1945-12-25,GBR,NA,NA
100109,Jun,Kuki,R,1945-12-28,JPN,NA,Q16267024
100110,Terry,Addison,R,1946-01-11,AUS,180,Q13848246
100111,Ray,Keldie,R,1946-01-17,AUS,NA,Q7297691
100112,John,Clifton,R,1946-02-19,GBR,NA,Q6226389
100113,Jan,Kodes,R,1946-03-01,CZE,175,Q317431
100114,Ray,Ruffels,R,1946-03-23,AUS,NA,Q1258947
100115,Jaime,Fillol,R,1946-06-03,CHI,180,Q1258592
100116,Sherwood,Stewart,R,1946-06-06,USA,188,Q984213
100117,Butch,Seewagen,R,1946-06-13,USA,188,Q18030909
100118,Ivan,Molina,L,1946-06-16,COL,NA,Q1281826
100119,Ilie,Nastase,R,1946-07-19,ROU,183,Q106113
100120,Robert,Maud,R,1946-08-12,RSA,180,Q1565123
100121,Raymond,Moore,R,1946-08-24,RSA,183,Q1563090
100122,Julian,Ganzabal,R,1946-08-25,ARG,NA,Q22004451
100123,Patrick,Hombergen,R,1946-09-08,BEL,NA,Q23023184
100124,Steve,Turner,R,1946-10-17,USA,NA,NA
100125,John,Cooper,R,1946-11-04,AUS,NA,Q1260301
100126,Stan,Smith,R,1946-12-14,USA,193,Q54657
100127,Tom,Gorman,R,1946-01-19,USA,180,Q1258917
100128,Cliff,Richey,R,1946-12-31,USA,175,Q1565885
100129,Jean Baptiste,Chanfreau,R,1947-01-17,FRA,NA,Q1563100
100130,Vladimir,Zednik,R,1947-02-01,CZE,NA,Q1261168
100131,Guillermo,Oropez,R,1947-02-07,USA,NA,NA
100132,Armistead,Neely,R,1947-03-19,USA,NA,Q18085277
100133,Pat,Cramer,R,1947-03-21,RSA,NA,Q7143331
100134,Roy,Barth,R,1947-03-30,USA,175,Q18240972
100135,Onny,Parun,R,1947-04-15,NZL,188,Q939026
100136,Humphrey,Hose,R,1947-05-04,VEN,NA,Q22005197
100137,Hans Jurgen,Pohmann,R,1947-05-23,GER,178,Q95218
100138,Dan,Bleckinger,R,1947-05-27,USA,NA,NA
100139,Gerald,Battrick,R,1947-05-27,GBR,178,Q1565118
100140,Steve,Faulk,R,1947-06-01,USA,NA,NA
100141,Zeljko,Franulovic,R,1947-06-13,CRO,NA,Q1290977
100142,Peter,Szoke,R,1947-08-08,HUN,NA,Q1563115
100143,Peter,Fishbach,R,1947-08-29,USA,180,Q87758114
100144,Bob,Lutz,R,1947-08-29,USA,180,Q888085
100145,Dick,Dell,R,1947-09-29,USA,NA,Q3026568
100146,Jun,Kamiwazumi,R,1947-10-01,JPN,NA,Q11588830
100147,Marcello,Lara,R,1947-10-05,MEX,NA,Q1565079
100148,Ismail,El Shafei,R,1947-11-15,EGY,NA,Q402950
100149,Toshiro,Sakai,R,1947-11-23,JPN,NA,Q962038
100150,Lito,Alvarez,R,1947-12-05,ARG,NA,Q963823
100151,Karl,Coombes,R,1947-12-17,AUS,180,Q16855126
100152,David,Lloyd,R,1948-01-03,GBR,NA,Q3018308
100153,Patrice,Hagelauer,R,1948-01-05,FRA,188,Q3368955
100154,Peter,Kanderal,R,1948-01-16,SUI,NA,Q86628337
100155,Ramiro,Benavides,R,1947-01-30,BOL,NA,NA
100156,Jasjit,Singh,R,1948-02-04,IND,NA,Q18091541
100157,Stanley,Pasarell,R,1948-02-11,USA,185,NA
100158,John,Bartlett,R,1948-03-17,AUS,188,Q6220953
100159,Vladimir,Korotkov,R,1948-04-23,RUS,NA,Q12488
100160,Georges,Goven,R,1948-04-26,FRA,173,Q1563939
100161,Jurgen,Fassbender,R,1948-05-28,GER,NA,Q77578
100162,Brian,Fairlie,R,1948-06-13,NZL,173,Q1563153
100163,Tom,Leonard,R,1948-07-15,USA,175,Q1563959
100164,Bill,Lofgren,R,1948-07-31,USA,NA,NA
100165,Steve,Siegel,R,1948-09-04,USA,NA,Q23023819
100166,Gene,Malin,R,1948-10-01,USA,NA,NA
100167,Sever,Muresan,R,1948-10-23,ROU,NA,Q7457808
100168,Kenneth,McMillan,R,1948-11-25,USA,NA,NA
100169,Ian,Fletcher,R,1948-12-01,AUS,NA,Q3147262
100170,Bernard,Mignot,R,1948-12-03,BEL,NA,Q2898324
100171,John,Yuill,R,1948-12-12,RSA,NA,Q3182800
100172,Tito,Vazquez,R,1949-01-01,ARG,173,Q2040551
100173,Andrew,Pattison,R,1949-01-30,USA,188,Q716408
100174,Manuel,Orantes,L,1949-02-06,ESP,178,Q318569
100175,Zan,Guerry,R,1949-02-12,USA,NA,Q22278049
100176,Hans,Kary,L,1949-02-23,AUT,172,Q3126972
100177,Pavel,Hutka,R,1949-02-28,CZE,NA,Q7155624
100178,Bob,Giltinan,R,1949-04-07,AUS,NA,Q2907669
100179,Karl,Meiler,R,1949-04-30,GER,178,Q89533
100180,Bill,Lloyd,R,1949-05-07,AUS,NA,NA
100181,Larry,Turville,R,1949-06-04,USA,NA,NA
100182,Mike,Estep,R,1949-07-19,USA,173,Q4107672
100183,Jim,Ward,R,1949-07-28,USA,NA,NA
100184,Lars,Elvstrom,R,1949-08-18,DEN,NA,Q16064404
100185,Patrick,Proisy,R,1949-09-10,FRA,180,Q1282611
100186,Jeff,Borowiak,R,1949-09-25,USA,193,Q1565788
100187,Luis Felipe,Tavares,R,1949-09-26,BRA,NA,NA
100188,John,Fort,R,1949-09-28,USA,NA,NA
100189,Dale,Power,R,1949-10-02,CAN,NA,Q5210590
100190,Norman,Holmes,R,1949-10-05,USA,NA,NA
100191,Doug,Crawford,R,1949-10-15,USA,188,NA
100192,Kent,Crawford,R,1949-10-15,USA,NA,NA
100193,Wanaro,N'Godrella,R,1949-10-19,FRA,NA,Q3566000
100194,Larry,Parker,R,1949-10-23,USA,NA,NA
100195,Nicolas,Kelaidis,R,1949-10-29,GRE,178,Q27996064
100196,Haroon,Rahim,R,1949-11-12,PAK,NA,Q1258703
100197,Alejandro,Pierola,R,1949-11-20,CHI,NA,Q4714630
100198,Alvaro,Betancur,R,1950-01-03,COL,NA,Q86431834
100199,Patrice,Dominguez,L,1950-01-12,FRA,173,Q3368924
100200,Antonio,Zugarelli,R,1950-01-17,ITA,NA,Q267328
100201,Syd,Ball,R,1950-01-24,AUS,188,Q1563900
100202,George,Amaya,L,1950-02-12,USA,173,NA
100203,Phil,Dent,R,1950-02-14,AUS,183,Q976190
100204,Pancho,Walthall,L,1950-02-16,USA,NA,NA
100205,Paul,Gerken,R,1950-03-15,USA,185,Q3371310
100206,Kenichi,Hirai,R,1950-03-19,JPN,NA,Q17986761
100207,Noel,Phillips,R,1950-03-28,AUS,NA,NA
100208,Dick,Bohrnstedt,R,1950-04-28,USA,NA,Q16144736
100209,George,Taylor,R,1950-05-04,USA,NA,NA
100210,Steve,Docherty,R,1950-05-06,AUS,NA,Q7612404
100211,Louk,Sanders,R,1950-05-09,NED,NA,Q2157904
100212,F D,Robbins,R,1950-06-13,USA,NA,NA
100213,Fred,Hemmes,U,1950-06-14,NED,NA,Q719304
100214,Adriano,Panatta,R,1950-07-09,ITA,183,Q375938
100215,Fred,Mcnair,R,1950-07-22,USA,183,Q3086899
100216,Charlie,Owens,R,1950-07-31,USA,NA,Q5081403
100217,Bob,Mckinley,R,1950-08-05,USA,NA,Q7347560
100218,Butch,Palmer,R,1950-09-04,USA,NA,NA
100219,Geoff,Masters,R,1950-09-19,AUS,NA,Q1260231
100220,Jiri,Hrebec,R,1950-09-19,CZE,NA,Q2057065
100221,Carlos,Kirmayr,R,1950-09-23,BRA,173,Q1042999
100222,Mike,Powers,R,1950-09-24,USA,NA,NA
100223,Jeff,Simpson,R,1950-10-29,NZL,NA,Q6174987
100224,Peter,Campbell,R,1950-11-10,AUS,NA,NA
100225,Peter,Doerner,R,1950-11-17,AUS,NA,Q18010763
100226,Mike,Machette,R,1951-01-27,USA,NA,Q13512805
100227,Alvin,Gardiner,R,1951-02-11,AUS,NA,Q22959202
100228,Kjell,Johansson,R,1951-02-12,SWE,NA,Q5886813
100229,Dick,Stockton,R,1951-02-18,USA,188,Q967423
100230,Welry,Fritz,R,1951-02-19,CAN,NA,NA
100231,Erik,Van Dillen,R,1951-02-21,USA,183,Q1259691
100232,Eddie,Dibbs,R,1951-02-23,USA,170,Q1282765
100233,Ricardo,Cano,R,1951-02-26,ARG,170,Q3430221
100234,Allan,McDonald,R,1951-03-01,AUS,NA,Q16855281
100235,Antonio,Munoz,R,1951-03-01,ESP,NA,Q4776822
100236,John,James,R,1951-03-07,AUS,183,Q6241493
100237,Bill,Freer,R,1951-03-09,RSA,NA,NA
100238,Rick,Fisher,R,1951-03-29,USA,NA,Q7331389
100239,Hans,Engert,R,1951-04-22,GER,NA,Q1566665
100240,Joao,Soares,R,1951-04-25,BRA,185,Q6298385
100241,Joel,Bailey,R,1951-04-25,USA,NA,Q22095303
100242,Mike,Collins,R,1951-05-01,GBR,NA,NA
100243,Steve,Krulevitz,R,1951-05-30,USA,175,Q7613081
100244,John,Alexander,R,1951-07-04,AUS,190,Q1281683
100245,Jeff,Austin,R,1951-07-05,USA,NA,Q6173248
100246,Frank,Puncec,R,1951-07-09,RSA,NA,Q62513964
100247,Rolf,Thung,L,1951-07-27,NED,190,Q1821050
100248,Max,Hurlimann,R,1951-07-30,SUI,NA,NA
100249,Paolo,Bertolucci,R,1951-08-03,ITA,175,Q484985
100250,Woody,Blocher,R,1951-08-24,USA,173,Q87495855
100251,Grover Raz,Reid,R,1951-08-27,USA,NA,NA
100252,Tim,Gullikson,R,1951-09-08,USA,180,Q962989
100253,Tom,Gullikson,L,1951-09-08,USA,180,Q1855348
100254,George,Glowa,R,1951-10-01,USA,188,NA
100255,Roscoe,Tanner,L,1951-10-15,USA,183,Q54681
100256,Luis,Baraldi,R,1951-10-21,MEX,NA,NA
100257,Ross,Case,R,1951-11-01,AUS,NA,Q1260196
100258,Jorge,Andrew,R,1951-11-02,VEN,NA,Q11705726
100259,Peter,Feigl,R,1951-11-30,AUT,183,Q3376565
100260,Gary,Groslimond,R,1952-01-03,USA,NA,NA
100261,Brian,Gottfried,R,1952-01-27,USA,183,Q912255
100262,Rolf,Norberg,R,1952-01-31,SWE,NA,Q3440373
100263,John,Andrews,R,1952-02-05,USA,NA,Q3180915
100264,Lajos,Levai,R,1952-02-07,YUG,NA,NA
100265,Cliff,Letcher,R,1952-02-09,AUS,NA,Q2979053
100266,John,Feaver,R,1952-02-16,GBR,190,Q6232841
100267,Rayno,Seegers,R,1952-02-29,RSA,NA,Q18030745
100268,Denis,Naegelen,R,1952-03-14,FRA,NA,Q5802672
100269,Joe,Garcia,R,1952-03-17,USA,NA,NA
100270,Anand,Amritraj,R,1952-03-20,IND,185,Q2698644
100271,Jean Francois,Caujolle,L,1952-03-31,FRA,NA,Q3165519
100272,Sandy,Mayer,R,1952-04-05,USA,178,Q2096054
100273,Kim,Warwick,R,1952-04-08,AUS,183,Q1741596
100274,Eric,Deblicker,R,1952-04-17,FRA,178,Q3591073
100275,Hartmut,Kirchhubel,R,1952-04-23,GER,NA,Q22278629
100276,Terry,Moor,L,1952-04-23,USA,178,Q716901
100277,Jacques,Thamin,R,1952-05-23,FRA,NA,Q13365306
100278,Frank,Gebert,R,1952-06-11,GER,NA,Q3082618
100279,Mike,Cahill,R,1952-06-17,USA,183,Q6846222
100280,Wojtek,Fibak,R,1952-08-03,POL,183,Q505565
100281,Sashi,Menon,R,1952-08-09,IND,180,Q7425124
100282,Guillermo,Vilas,L,1952-08-17,ARG,180,Q201515
100283,Andre,Zietsmann,R,1952-08-19,RSA,NA,NA
100284,Jimmy,Connors,L,1952-09-02,USA,178,Q53393
100285,Rod,Frawley,R,1952-09-08,AUS,185,Q3438080
100286,Harold,Solomon,R,1952-09-17,USA,168,Q1585949
100287,Robin,Drysdale,R,1952-09-18,GBR,NA,Q3437059
100288,Tenny,Svensson,R,1952-09-21,SWE,NA,Q18085229
100289,Byron,Bertram,R,1952-10-29,RSA,NA,Q1565274
100290,Timothy,Noonan,R,1952-10-31,USA,NA,NA
100291,Ian,Harris,R,1952-11-16,USA,NA,NA
100292,Alvaro,Fillol,R,1952-12-04,CHI,178,Q3576981
100293,John,Marks,R,1952-12-09,AUS,NA,Q3181997
100294,Rejean,Genois,R,1952-12-30,CAN,175,Q7386114
100295,Richard,Legendre,R,1953-01-19,CAN,NA,Q3430975
100296,Chris,Gunning,R,1953-02-07,NZL,NA,NA
100297,Corrado,Barazzutti,R,1953-02-19,ITA,178,Q2713814
100298,George,Hardie,L,1953-02-19,USA,NA,Q5540227
100299,James Chico,Hagey,R,1953-02-25,USA,NA,NA
100300,Jose,Higueras,R,1953-03-01,ESP,178,Q1348847
100301,Jim,Delaney,R,1953-03-12,USA,NA,Q6132533
100302,Joaquim,Rasgado Jr,R,1953-03-24,BRA,NA,NA
100303,Henry,Bunis,R,1953-03-27,USA,NA,Q22677495
100304,Bob,Kreiss,R,1953-04-30,USA,NA,Q16268937
100305,Mark,Farrell,R,1953-05-06,GBR,NA,Q3294072
100306,Mike,Wayman,R,1953-05-06,GBR,NA,NA
100307,Paul,Torre,R,1953-05-18,FRA,180,Q13512879
100308,Robert,Trogolo,R,1953-06-15,RSA,180,Q7350479
100309,Raul,Ramirez,R,1953-06-20,MEX,183,Q972727
100310,Mike,Myburg,R,1953-06-23,RSA,NA,Q13513068
100311,Ulises,Quezada,R,1953-07-14,CHI,173,NA
100312,Chiraid,Mukherjea,R,1953-08-14,IND,NA,NA
100313,Keith,Richardson,R,1953-08-18,USA,185,NA
100314,Bernard,Fritz,R,1953-10-05,FRA,173,Q2897929
100315,Hank,Pfister,R,1953-10-09,USA,193,Q1144091
100316,Scott,Carnahan,R,1953-10-24,USA,NA,NA
100317,Stephen,Warboys,R,1953-10-25,GBR,NA,Q27680824
100318,Roger,Guedes,R,1953-11-03,BRA,NA,Q106602825
100319,Rick,Fagel,R,1953-11-29,USA,180,Q7331375
100320,Mark,Meyers,R,1953-12-05,USA,NA,NA
100321,Vijay,Amritraj,R,1953-12-14,IND,193,Q468309
100322,Emilio,Montano,R,1953-12-18,MEX,NA,Q18159398
100323,Givaldo,Barbosa,R,1954-01-25,BRA,183,Q5565585
100324,John,Whitlinger,R,1954-02-04,USA,180,Q8172709
100325,Ulrich,Pinner,R,1954-02-07,GER,178,Q78176
100326,Russell,Simpson,R,1954-02-22,NZL,188,Q3784261
100327,Willem,Prinsloo,L,1954-02-25,RSA,NA,Q92294368
100328,Rand,Evett,R,1954-03-01,USA,NA,NA
100329,Otto,Panman,R,1954-03-25,NED,NA,NA
100330,David,Imonitie,R,1954-04-10,NGR,NA,NA
100331,Jean Louis,Haillet,R,1954-05-07,FRA,NA,Q735512
100332,Balazs,Taroczy,R,1954-05-09,HUN,183,Q370019
100333,Shigeyuki,Nishio,R,1954-05-23,JPN,NA,Q62513568
100334,Ernie,Ewert,R,1954-06-05,AUS,NA,Q17365472
100335,David,Parker,R,1954-06-07,USA,NA,NA
100336,Guillermo,Aubone,L,1954-06-08,ARG,NA,Q5616118
100337,Mark,Edmondson,R,1954-06-24,AUS,185,Q506606
100338,Benjy,Robins,R,1954-06-30,USA,175,NA
100339,Victor,Amaya,L,1954-07-02,USA,201,Q1748325
100340,Sam,Vuille,R,1954-07-06,USA,NA,NA
100341,Gonzalo,Nunez,R,1954-07-21,USA,NA,Q107031471
100342,Vitas,Gerulaitis,R,1954-07-26,USA,183,Q53547
100343,John,Lloyd,R,1954-08-27,GBR,178,Q1360272
100344,Eric,Friedler,R,1954-09-08,USA,NA,Q24005201
100345,Pat,Dupre,R,1954-09-16,USA,190,Q3368536
100346,Paul,Kronk,R,1954-09-22,AUS,NA,Q3371590
100347,Peter,Kronk,R,1954-09-22,AUS,NA,NA
100348,Gerard,Toulon,R,1954-09-24,FRA,185,NA
100349,Glen,Holroyd,R,1954-09-25,USA,NA,Q28595312
100350,Franz Josef,Wich,R,1954-10-11,GER,NA,NA
100351,Freddie,De Jesus,R,1954-10-30,PUR,NA,NA
100352,John,Lucas,R,1954-10-31,USA,NA,NA
100353,Bruce,Kleege,R,1954-11-01,USA,190,Q22095971
100354,Bernie,Mitton,R,1954-11-09,RSA,188,Q2898337
100355,Victor,Eke,R,1954-11-11,AUS,NA,Q55183442
100356,Paul,Mcnamee,R,1954-11-12,AUS,178,Q1348791
100357,Bhanu,Nunna,R,1954-11-13,IND,NA,Q87786664
100358,Mike,Fishbach,R,1954-12-01,USA,180,Q18641540
100359,Richard,Lewis,L,1954-12-06,GBR,NA,Q7327373
100360,Brian,Teacher,R,1954-12-23,USA,190,Q54683
100361,Willie,Davies,R,1955-01-01,GBR,NA,NA
100362,Peter,Fleming,R,1955-01-21,USA,196,Q729789
100363,Jiri,Granat,R,1955-01-28,CZE,185,Q6203644
100364,Jonathan,Smith,R,1955-01-29,GBR,188,Q6274466
100365,Peter,Holl,R,1955-01-29,GER,NA,Q84072816
100366,Heiner,Seuss,R,1955-02-04,GER,NA,NA
100367,Belus,Prajoux,R,1955-02-27,CHI,170,Q2895162
100368,Haroon,Ismail,R,1955-02-27,ZIM,178,Q13513049
100369,Herve,Gauvain,R,1955-03-04,FRA,180,Q81221296
100370,Helmut,Beermann,R,1955-03-09,GER,NA,NA
100371,Robert,Baumgartner,R,1955-03-11,GER,NA,NA
100372,Trey,Waltke,R,1955-03-16,USA,173,Q7839620
100373,Christopher,Sylvan,R,1955-03-18,USA,NA,NA
100374,Javier,Soler,L,1955-03-25,ESP,NA,Q23772064
100375,John,Hayes,R,1955-04-07,USA,193,Q6238395
100376,Buster C,Mottram,R,1955-04-25,GBR,193,Q2928786
100377,Colin,Dowdeswell,R,1955-05-12,GBR,185,Q464502
100378,David,Schneider,R,1955-05-17,USA,185,Q5239547
100379,Craig,Edwards,R,1955-05-19,USA,175,Q17457380
100380,Butch,Walts,R,1955-06-04,USA,193,Q2928827
100381,Michael,Greenberg,R,1955-06-11,USA,NA,NA
100382,Chris,Kachel,R,1955-06-19,AUS,NA,Q2964756
100383,Peter,Mcnamara,R,1955-07-05,AUS,185,Q1508952
100384,Alejandro,Cortes,R,1955-07-14,COL,NA,Q4714511
100385,Filip,Krajcik,R,1955-07-23,AUT,NA,Q19971270
100386,Jose,Garcia,R,1955-07-23,ESP,NA,NA
100387,Jiri,Prucha,R,1955-08-10,CZE,NA,Q106981794
100388,Peter,Pearson,R,1955-08-12,USA,NA,NA
100389,Horace,Reid,R,1955-08-14,USA,NA,NA
100390,Trevor,Allan,L,1955-08-17,AUS,178,Q19975564
100391,Larry,Davidson,R,1955-08-21,USA,NA,NA
100392,Richard,Meyer,R,1955-09-04,USA,183,Q7327797
100393,Marcos,Hocevar,R,1955-09-26,BRA,185,Q2740863
100394,Angel,Gimenez,R,1955-10-10,ESP,163,Q8076837
100395,Victor,Pecci,R,1955-10-15,PAR,193,Q715523
100396,Martin,Robinson,L,1955-10-19,GBR,NA,Q96392148
100397,Terry,Rocavert,R,1955-10-21,AUS,180,Q7704959
100398,Julio,Goes,R,1955-10-25,BRA,180,Q10313439
100399,Rocky,Maguire,R,1955-10-27,USA,NA,NA
100400,Hubertus,Hoyt,R,1955-11-03,USA,NA,NA
100401,Sean,Sorensen,R,1955-11-12,IRL,NA,Q7441447
100402,Francisco,Gonzalez,R,1955-11-19,PAR,193,Q281439
100403,Rolf,Gehring,R,1955-11-25,GER,185,Q73896
100404,David,Sherbeck,R,1955-12-02,USA,NA,Q17442289
100405,Fernando,Maynetto,R,1955-12-02,PER,NA,Q5444825
100406,Greg,Halder,R,1955-12-05,CAN,188,NA
100407,Dale,Collings,R,1955-12-16,AUS,NA,Q3012292
100408,Gary,Plock,R,1955-12-21,USA,175,NA
100409,Randy,Crawford,R,1955-12-22,USA,188,NA
100410,Tim,Garcia,R,1955-12-28,USA,NA,Q56702380
100411,Pavel,Slozil,R,1955-12-29,CZE,173,Q1445074
100412,Bruce,Nichols,R,1955-12-31,USA,NA,Q4978078
100413,Ulrich,Marten,R,1956-01-01,GER,NA,Q7879844
100414,Gunther,Gnettner,R,1956-01-12,GER,NA,NA
100415,Michael,Grant,R,1956-02-03,USA,178,Q96392800
100416,Bill,Maze,R,1956-02-09,USA,NA,Q4910058
100417,Hans,Gildemeister,R,1956-02-09,CHI,183,Q630148
100418,Geoff,Martinez,R,1956-02-13,USA,NA,NA
100419,Todd,Lundy,R,1956-02-17,USA,NA,NA
100420,Hans,Ritschard,R,1956-02-25,SUI,NA,NA
100421,Jan,Norback,R,1956-03-06,SWE,NA,Q18346977
